"Title","URL","Time","Author","Type"
"[聽聖經學英語]中英聖經 創世紀第二章 亞當與夏娃 Genesis 2","https://www.youtube.com/watch?v=PM2MROTy9dc","313次","[聽聖經學英語Listen to Bible]中英聖經","item"
"大衛鮑森舊約縱覽 - 創世記(二) 造物主和受造物","https://www.youtube.com/watch?v=jHKK66iKTng","17萬次","大衛鮑森國際中文頻道","item"
"華語華語舊約聖經 創世紀 第 49章 現代中文譯本2019版","https://www.youtube.com/watch?v=n54-QJeUJ9w","9次","蘇俊雄","item"
"圣经讲解创世纪第22章 Bible Genesis22","https://www.youtube.com/watch?v=YEHvuTcs4ss","692次","讲解圣经","item"
"華語舊約聖經 創世紀       第 6  章    現代中文譯本2019版","https://www.youtube.com/watch?v=Ue_YpfW1qSM","13次","蘇俊雄","item"
"[聽聖經學英語]中英聖經 創世紀第十九章  所多瑪與蛾摩拉被毀滅 Genesis 19","https://www.youtube.com/watch?v=NKzN9W6_zTs","39次","[聽聖經學英語Listen to Bible]中英聖經","item"
"200403 創世記 3章1~24節","https://www.youtube.com/watch?v=Defu9giFRQw","1.9萬次","淡江教會-國度影音","item"
"[聽聖經學英語]中英聖經 創世紀第十三章 亞伯拉罕與羅德分離  Genesis 13","https://www.youtube.com/watch?v=5hge1gfppGg","30次","[聽聖經學英語Listen to Bible]中英聖經","item"
"《创世纪》里暗藏的永生密码 【WeoW聊圣经 1】","https://www.youtube.com/watch?v=yDUWPn9R3zA","1434次","某曹不吃梨","item"
"空中聖經學院~創世記(45)-兩年的等待是神的預備","https://www.youtube.com/watch?v=Z0JWKVWb_fA","6669次","GOOD TV 好消息電視台","item"
"[聽聖經學英語]中英聖經 創世紀第十一章 巴別塔  Genesis 11","https://www.youtube.com/watch?v=2Wh4lx5z_gY","60次","[聽聖經學英語Listen to Bible]中英聖經","item"
"[聽聖經學英語]中英聖經 創世紀第三十二章 雅各與神摔跤 Genesis 32","https://www.youtube.com/watch?v=QYw4d0_MySQ","36次","[聽聖經學英語Listen to Bible]中英聖經","item"
